Date,AAPL,AMZN,BAC,GOOGL,JPM,META,MSFT,NFLX,NVDA,SPY,TSLA
2019-12-27,146266000,123732000,28111300,23212000,7868200,10284200,18412800,5036100,254644000,42528800,149185500
2019-12-30,144114400,73494000,30705100,19994000,6963000,10524300,16348400,4311500,258056000,49729100,188796000
2019-12-31,100805600,50130000,29630100,19514000,7201600,8953500,18369400,3713300,231004000,57077300,154285500
2020-01-02,135480400,80580000,37614200,27278000,10803700,12077100,22622100,4485800,237536000,59151200,142981500
2020-01-03,146322800,75288000,50357900,23408000,10386800,11188400,21116200,3806900,205384000,77709700,266677500
2020-01-06,118387200,81236000,42185000,46768000,10259000,17058900,20813700,5663100,262636000,55653900,151995000
2020-01-07,108872000,80898000,34149000,34330000,10531300,14912400,21634100,4703200,314856000,40496400,268231500
2020-01-08,132079200,70160000,45311600,35314000,9695300,13475000,27746500,7104500,277108000,68296000,467164500
2020-01-09,170108400,63346000,39861600,33200000,9469000,12642800,21385000,4709300,255112000,48473300,426606000
2020-01-10,140644800,57074000,39730400,26258000,10190900,12119400,20725900,4718300,316296000,53029300,194392500
2020-01-13,121532000,55616000,37956100,30730000,12355200,14463400,21626500,6290000,319840000,47086800,397764000
2020-01-14,161954400,68818000,66719300,26076000,24906000,13288900,23477400,7199400,359088000,62832800,434943000
2020-01-15,121923600,57932000,74745500,21550000,16293400,10036500,21417900,5158000,263104000,72056600,260532000
2020-01-16,108829200,53190000,50368500,26080000,10783800,10015300,23865400,5016000,284192000,54050300,326050500
2020-01-17,137816400,79946000,54156100,52424000,14697700,15905900,34371700,6066500,253792000,95846000,204436500
2020-01-21,110843200,74156000,50811000,48930000,8474200,14275800,29517200,14350300,217916000,77742400,267052500
2020-01-22,101832400,64326000,38879700,28458000,7549100,12212800,24138800,21730000,239240000,48914900,470535000
2020-01-23,104472000,49692000,45717100,26650000,9345700,11195000,19680800,18200300,244516000,51963000,294765000
